scenario,method,metric,mode,mean,min,max,formatted
A,FedAvg,auroc,A,0.7179461733243564,0.5422611344247328,0.7492119292543568,0.7179 (0.5423-0.7492)
A,FedAvg,auprc,A,0.6814650427382213,0.5117472291245858,0.70744051389658,0.6815 (0.5117-0.7074)
A,FedAvg,accuracy,A,0.668253326986776,0.5399766912490667,0.6953399045957108,0.6683 (0.5400-0.6953)
A,FedAvg,ece,A,0.10863844677372725,0.09785293028154365,0.38722993619155316,0.1086 (0.0979-0.3872)
A,FedAvg,brier,A,0.21105199794684848,0.19908705072271873,0.3942016811603889,0.2111 (0.1991-0.3942)
A,FedAvg,nll,A,0.6106492933454098,0.5824896450078053,1.070601309173962,0.6106 (0.5825-1.0706)
A,FedAvg,auroc,B,0.7179461733243562,0.4816930970149254,0.8531051802664623,0.7179 (0.4817-0.8531)
A,FedAvg,auprc,B,0.6814650427382213,0.3033917806986348,0.8342609005412014,0.6815 (0.3034-0.8343)
A,FedAvg,accuracy,B,0.6682533269867759,0.4693251533742331,0.8,0.6683 (0.4693-0.8000)
A,FedAvg,ece,B,0.10863844677372725,0.0136962192358133,0.5567557985612167,0.1086 (0.0137-0.5568)
A,FedAvg,brier,B,0.21105199794684845,0.1590444903438905,0.5127028305019594,0.2111 (0.1590-0.5127)
A,FedAvg,nll,B,0.61064929334541,0.4940197761035326,1.3670809987009076,0.6106 (0.4940-1.3671)
A,FedBE,auroc,A,0.6359500450675345,0.5310713535186804,0.6674203223413777,0.6360 (0.5311-0.6674)
A,FedBE,auprc,A,0.6069846476020913,0.493840442581075,0.6452325521524394,0.6070 (0.4938-0.6452)
A,FedBE,accuracy,A,0.6112831519812479,0.5003406260898665,0.6401655528967786,0.6113 (0.5003-0.6402)
A,FedBE,ece,A,0.11909785283583252,0.10207549213010471,0.3667351762197163,0.1191 (0.1021-0.3667)
A,FedBE,brier,A,0.23568172625394537,0.22498426567944568,0.37667965314430535,0.2357 (0.2250-0.3767)
A,FedBE,nll,A,0.6639603685035176,0.6410112731925397,1.0092066715980295,0.6640 (0.6410-1.0092)
A,FedBE,auroc,B,0.6359500450675345,0.4577265372168285,0.7617162559060144,0.6360 (0.4577-0.7617)
A,FedBE,auprc,B,0.6069846476020913,0.2904155256332075,0.8097292472747131,0.6070 (0.2904-0.8097)
A,FedBE,accuracy,B,0.6112831519812479,0.4117647058823529,0.7862068965517242,0.6113 (0.4118-0.7862)
A,FedBE,ece,B,0.1190978528358325,0.0092778872086281,0.5344740032079928,0.1191 (0.0093-0.5345)
A,FedBE,brier,B,0.23568172625394543,0.1873798285748033,0.4884536573689371,0.2357 (0.1874-0.4885)
A,FedBE,nll,B,0.6639603685035176,0.5626302669930275,1.2792800282796564,0.6640 (0.5626-1.2793)
